vacancy_name,experience,lvl,views,applications,part_of_url,technologies
developer,0,junior,412,88,https://djinni.co/jobs/513085-trainee-python-developer/,"['postgresql', 'django', 'git', 'drf', 'bash']"
developer,0,junior,948,227,https://djinni.co/jobs/510468-junior-python-developer/,"['devops', 'jira', 'python', 'css', 'html', 'django', 'api', 'git', 'drf', 'javascript', 'docker']"
developer,0,junior,312,22,https://djinni.co/jobs/336441-python-developer-in-test-apps-/,"['aws', 'python', 'linux', 'git', 'pytest', 'selenium', 'macos', 'windows']"
developer,1,junior,63,18,https://djinni.co/jobs/505763-python-developer/,"['postgresql', 'api', 'linux', 'git', 'javascript', 'docker']"
developer,1,junior,133,16,https://djinni.co/jobs/513305-python-plotly-dash-developer/,"['sqlalchemy', 'sql']"
developer,1,junior,246,119,https://djinni.co/jobs/436121-python-developer-produktova-kompaniia-/,"['postgresql', 'python', 'rest', 'api', 'linux', 'mongodb', 'git']"
developer software,1,junior,515,55,https://djinni.co/jobs/511666-junior-software-developer/,['python']
developer,1,junior,246,47,https://djinni.co/jobs/86357-python-developer/,"['nosql', 'python', 'beautifulsoup', 'html', 'networking', 'api', 'selenium', 'pandas', 'flask', 'sql']"
developer,1,junior,738,236,https://djinni.co/jobs/511286-junior-python-developer/,"['redis', 'mongodb', 'python']"
fullstack,1,junior,254,50,https://djinni.co/jobs/305762-rozrobnik-python-full-stack/,"['json', 'sqlalchemy', 'laravel', 'postgresql', 'python', 'aws', 'rest', 'html', 'css', 'linux', 'git', 'api', 'pytest', 'macos', 'orm', 'js', 'sass', 'flask']"
developer,1,junior,237,63,https://djinni.co/jobs/169969-python-developer/,"['postgresql', 'aws', 'python', 'rest', 'elasticsearch', 'linux', 'graphql', 'redis', 'docker']"
developer,1,junior,304,103,https://djinni.co/jobs/510798-python-django-developer-js-at-the-basic-level/,"['postgresql', 'python', 'oop', 'rest', 'html', 'css', 'django', 'git', 'pytest', 'js', 'docker', 'ansible']"
integrator,1,junior,167,25,https://djinni.co/jobs/488741-integrator-support-specialist-3l-/,['api']
developer,1,junior,235,42,https://djinni.co/jobs/501633-junior-python-developer-commercial-experience/,"['python', 'django', 'linux', 'git', 'flask', 'sql']"
