id,vacancy_name,experience,lvl,views,applications,part_of_url
1,developer,0,junior,275,30,https://djinni.co/jobs/518084-junior-python-developer/
2,developer,0,junior,668,162,https://djinni.co/jobs/431369-stazher-js-python-c-/
3,engineer,0,junior,797,229,https://djinni.co/jobs/512545-python-engineer-for-ai-based-project/
4,backend developer,0,junior,1304,397,https://djinni.co/jobs/514025-junior-backend-developer-intern-/
5,developer,0,junior,650,129,https://djinni.co/jobs/476735-junior-python-developer-odoo-/
6,developer,1,junior,69,17,https://djinni.co/jobs/290824-junior-django-developer/
7,backend developer,1,junior,195,63,https://djinni.co/jobs/134544-python-developer-backend-developer/
8,developer,1,junior,93,33,https://djinni.co/jobs/517814-crawler-for-ivix/
9,developer,1,junior,98,7,https://djinni.co/jobs/473986-junior-python-and-s-s-developer/
10,developer,1,junior,27,3,https://djinni.co/jobs/516829-junior-python-developer/
11,engineer,1,junior,214,24,https://djinni.co/jobs/516803-python-etl-engineer-middle-strong-junior/
12,developer,1,junior,361,149,https://djinni.co/jobs/516564-python-django-developer/
13,developer,1,junior,451,145,https://djinni.co/jobs/516482-junior-data-python-developer/
14,engineer,1,junior,386,125,https://djinni.co/jobs/516425-junior-data-python-engineer/
15,developer,1,junior,156,30,https://djinni.co/jobs/515852-daas-support-eng/
16,developer,1,junior,419,66,https://djinni.co/jobs/501096-junior-python-developer/
17,developer,1,junior,44,9,https://djinni.co/jobs/513823-upskilling-junior-python-developer-bulgaria-/
18,developer,1,junior,224,50,https://djinni.co/jobs/505763-python-developer/
19,developer,1,junior,358,149,https://djinni.co/jobs/436121-python-developer-produktova-kompaniia-/
20,developer software,1,junior,645,67,https://djinni.co/jobs/511666-junior-software-developer/
21,developer,1,junior,326,65,https://djinni.co/jobs/86357-python-developer/
22,developer,1,junior,949,288,https://djinni.co/jobs/511286-junior-python-developer/
23,fullstack,1,junior,309,58,https://djinni.co/jobs/305762-rozrobnik-python-full-stack/
24,developer,1,junior,280,77,https://djinni.co/jobs/169969-python-developer/
25,developer,1,junior,211,19,https://djinni.co/jobs/481908-python-developer-dlia-akademiyi-it-osviti/
26,developer,2,middle,23,9,https://djinni.co/jobs/290835-middle-django-developer/
27,backend engineer,2,middle,38,15,https://djinni.co/jobs/518243-python-backend-engineer/
28,engineer fullstack,2,middle,102,13,https://djinni.co/jobs/518068-junior-fullstack-engineer/
29,developer fullstack,2,middle,47,4,https://djinni.co/jobs/518002-full-stack-python-react-developer/
30,backend developer,2,middle,53,16,https://djinni.co/jobs/294995-middle-python-back-end-developer/
31,engineer,2,middle,5,2,https://djinni.co/jobs/517572-middle-automation-engineer-python-/
32,engineer software,2,middle,38,6,https://djinni.co/jobs/517493-middle-python-software-engineer-prom-ua-/
33,developer,2,middle,47,10,https://djinni.co/jobs/488435-python-developer/
34,developer,2,middle,98,46,https://djinni.co/jobs/268334-python-developer/
35,backend developer,2,middle,54,16,https://djinni.co/jobs/517234-middle-backend-developer-python-/
36,developer,2,middle,13,1,https://djinni.co/jobs/517107-odoo-developer-python-/
37,developer,2,middle,30,2,https://djinni.co/jobs/396471-mathematician/
38,developer,2,middle,117,22,https://djinni.co/jobs/444332-python-developer-django-/
39,backend developer,2,middle,80,12,https://djinni.co/jobs/487955-python-backend-developer/
40,engineer software,2,middle,53,8,https://djinni.co/jobs/427952-python-software-engineer/
41,developer,2,middle,44,13,https://djinni.co/jobs/507550-middle-python-developer/
42,developer,2,middle,49,9,https://djinni.co/jobs/508437-middle-python-developer/
43,developer,2,middle,147,28,https://djinni.co/jobs/516653-python-developer/
44,developer,2,middle,92,20,https://djinni.co/jobs/516369-python-developer/
45,developer,2,middle,32,13,https://djinni.co/jobs/497757-python-developer-middle-tornado-aiohttp-/
46,engineer,2,middle,72,5,https://djinni.co/jobs/515757-machine-learning-deep-learning-engineer-progn/
47,engineer,2,middle,52,3,https://djinni.co/jobs/515755-machine-learning-deep-learning-engineer-poshu/
48,backend developer,2,middle,85,16,https://djinni.co/jobs/505847-middle-backend-developer-python-/
49,developer,2,middle,113,37,https://djinni.co/jobs/515264-python-flask-developer/
50,developer,2,middle,49,20,https://djinni.co/jobs/499724-crawler-for-ivix/
51,developer,2,middle,127,13,https://djinni.co/jobs/445735-python-developer/
52,engineer,2,middle,55,7,https://djinni.co/jobs/514811-machine-learning-engineer/
53,developer,2,middle,29,1,https://djinni.co/jobs/514549-middle-python-odoo-developer/
54,developer,2,middle,114,59,https://djinni.co/jobs/514529-ivix-crawler-python-/
55,engineer,2,middle,39,8,https://djinni.co/jobs/483351-middle-python-django-engineer-recommender-/
56,engineer software,2,middle,51,9,https://djinni.co/jobs/506633-middle-python-software-engineer-shafa-/
57,developer,2,middle,190,40,https://djinni.co/jobs/505016-python-developer-middle-/
58,developer fullstack,2,middle,58,12,https://djinni.co/jobs/514268-full-stack-developer-vue-js-python-/
59,developer,2,middle,67,9,https://djinni.co/jobs/514248-python-inzhener-big-data-ai-/
60,developer,2,middle,152,30,https://djinni.co/jobs/481841-python-developer/
61,developer,2,middle,63,4,https://djinni.co/jobs/513643-middle-python-developer/
62,developer,2,middle,93,18,https://djinni.co/jobs/481342-middle-senior-python-developer/
63,developer,2,middle,26,2,https://djinni.co/jobs/468336-middle-senior-qa-automation-python/
64,developer software tech,2,middle,50,5,https://djinni.co/jobs/513523-mid-level-software-developer-for-funded-finte/
65,developer,2,middle,48,5,https://djinni.co/jobs/404016-senior-game-mathematician/
66,developer,2,middle,6,4,https://djinni.co/jobs/513461-python-developer-middle-/
67,developer,2,middle,102,22,https://djinni.co/jobs/504163-middle-python-developer/
68,engineer software,2,middle,34,5,https://djinni.co/jobs/513072-software-engineer-python-c-/
69,backend developer,2,middle,208,49,https://djinni.co/jobs/395492-middle-python-backend-developer/
70,developer,2,middle,100,26,https://djinni.co/jobs/512772-python-developer/
71,developer,2,middle,150,19,https://djinni.co/jobs/324711-python-django-developer/
