framework_id,vacancy_id
1,1
2,1
3,1
4,1
5,2
4,2
6,3
7,3
8,3
4,3
9,3
10,4
11,4
12,4
13,4
14,4
15,4
4,4
6,5
8,5
9,5
4,5
16,6
11,6
17,6
12,6
5,6
8,6
4,6
16,7
18,7
19,7
20,7
4,7
12,8
21,8
4,8
1,9
19,9
13,9
15,9
4,9
22,9
23,9
1,10
2,10
3,10
4,10
16,11
10,11
6,11
1,11
5,11
24,11
8,11
4,11
16,12
3,12
17,12
25,12
19,12
8,12
4,12
26,12
3,13
6,13
7,13
27,13
8,13
4,13
26,13
9,13
3,14
6,14
7,14
27,14
8,14
4,14
26,14
9,14
11,15
12,15
6,15
27,15
4,15
28,16
3,16
29,16
25,16
1,16
30,16
21,16
13,16
7,16
5,16
26,16
31,16
4,16
32,16
9,16
1,17
2,17
3,17
4,17
10,18
3,18
17,18
1,18
19,18
13,18
16,19
17,19
1,19
19,19
13,19
4,19
33,19
4,20
34,21
12,21
6,21
21,21
14,21
13,21
27,21
4,21
35,21
9,21
36,22
33,22
4,22
16,23
11,23
37,23
17,23
22,23
12,23
1,23
19,23
5,23
13,23
38,23
24,23
15,23
39,23
26,23
4,23
40,23
9,23
16,24
3,24
17,24
41,24
1,24
15,24
36,24
4,24
42,24
4,25
16,26
11,26
17,26
12,26
41,26
5,26
8,26
31,26
36,26
4,26
9,26
33,26
43,27
3,27
44,27
34,27
13,27
45,27
4,27
9,27
11,28
44,28
12,28
5,28
13,28
27,28
46,28
4,28
32,28
28,29
3,29
6,29
19,29
5,29
8,29
47,29
4,29
16,30
3,30
6,30
25,30
13,30
4,30
6,31
13,31
11,32
37,32
17,32
3,32
41,32
5,32
13,32
27,32
36,32
47,32
4,32
42,32
33,32
48,33
11,33
3,33
17,33
12,33
5,33
8,33
36,33
47,33
4,33
18,34
17,34
19,34
8,34
4,34
33,34
48,35
16,35
17,35
3,35
6,35
19,35
7,35
13,35
14,35
2,35
8,35
31,35
36,35
47,35
4,35
26,35
17,36
6,36
19,36
1,36
4,36
9,37
13,37
4,37
16,38
18,38
3,38
6,38
19,38
8,38
45,38
4,38
10,39
11,39
17,39
3,39
12,39
6,39
19,39
29,39
21,39
7,39
27,39
15,39
20,39
36,39
4,39
42,39
9,39
18,40
6,40
21,40
13,40
27,40
4,40
10,41
11,41
12,41
6,41
29,41
19,41
4,41
35,41
9,41
16,42
37,42
17,42
3,42
6,42
13,42
15,42
8,42
4,42
40,42
9,42
48,43
16,43
3,43
19,43
7,43
15,43
8,43
9,43
16,44
3,44
6,44
25,44
30,44
2,44
20,44
8,44
4,44
26,44
17,45
44,45
1,45
5,45
36,45
4,45
22,45
33,45
49,46
3,46
17,46
19,46
7,46
31,46
4,46
49,47
3,47
17,47
19,47
7,47
31,47
4,47
3,48
12,48
19,48
5,48
15,48
8,48
36,48
4,48
40,48
3,49
44,49
29,49
36,49
4,49
9,49
33,49
12,50
21,50
4,50
16,51
11,51
17,51
12,51
29,51
5,51
24,51
8,51
36,51
47,51
4,51
33,51
15,52
6,52
36,52
4,52
16,53
3,53
19,53
5,53
13,53
12,54
21,54
4,54
11,55
3,55
12,55
41,55
1,55
27,55
8,55
36,55
4,55
11,56
3,56
17,56
41,56
5,56
13,56
27,56
8,56
36,56
47,56
4,56
32,56
42,56
33,56
16,57
1,57
19,57
30,57
7,57
13,57
4,57
9,57
3,58
20,58
8,58
4,58
32,58
10,59
7,59
8,59
31,59
47,59
4,59
9,59
15,60
19,60
3,60
4,60
15,61
19,61
3,61
4,61
36,62
7,62
17,62
4,62
14,63
3,63
33,63
4,63
4,64
18,65
4,65
6,66
27,66
15,66
8,66
31,66
4,66
9,66
16,67
11,67
17,67
12,67
5,67
21,67
8,67
4,67
3,68
29,68
1,68
21,68
4,68
3,69
34,69
6,69
1,69
27,69
8,69
4,69
9,69
16,70
18,70
17,70
13,70
8,70
36,70
4,70
16,71
11,71
17,71
12,71
41,71
5,71
8,71
31,71
36,71
4,71
9,71
33,71
43,72
34,72
29,72
13,72
15,72
8,72
46,72
4,72
9,72
17,73
6,73
19,73
13,73
4,73
3,74
17,74
2,74
20,74
8,74
4,74
36,75
7,75
17,75
4,75
29,76
15,76
31,76
45,76
47,76
4,76
50,77
43,77
18,77
49,77
1,77
13,77
51,77
45,77
4,77
11,78
17,78
3,78
12,78
6,78
29,78
1,78
13,78
27,78
8,78
36,78
4,78
10,79
11,79
3,79
12,79
15,79
8,79
31,79
36,79
4,79
33,79
3,80
17,80
41,80
15,80
20,80
8,80
31,80
36,80
4,80
48,81
16,81
3,81
15,81
8,81
36,81
11,82
3,82
17,82
41,82
1,82
5,82
15,82
4,82
8,82
36,82
47,82
33,82
23,82
10,83
3,83
41,83
1,83
19,83
13,83
38,83
36,83
4,83
26,83
9,83
